date_de_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2,somme_boules,nb_pairs,nb_impairs
2020-08-14,49,10,42,9,19,4,12,129,2,3
2020-08-11,14,13,50,8,42,3,9,127,4,1
2020-08-07,36,20,5,41,21,11,6,123,2,3
2020-08-04,42,2,5,1,15,8,5,65,2,3
2020-07-31,30,46,24,21,49,2,5,170,3,2
2020-07-28,34,17,13,9,15,7,2,88,1,4
2020-07-24,8,28,50,27,9,12,4,122,3,2
2020-07-21,29,15,42,14,24,2,4,124,3,2
2020-07-17,7,27,41,15,43,7,9,133,0,5
2020-07-14,30,22,37,11,47,9,10,147,2,3
2020-07-10,30,38,15,17,23,2,7,123,2,3
2020-07-07,41,33,23,12,16,8,10,125,2,3
2020-07-03,27,4,16,39,37,3,6,123,2,3
2020-06-30,11,42,1,28,6,2,10,88,3,2
2020-06-26,12,26,21,1,10,5,11,70,3,2
2020-06-23,19,46,49,12,2,8,1,128,3,2
2020-06-19,14,5,24,43,19,3,11,105,2,3
2020-06-16,39,9,11,4,17,2,10,80,1,4
2020-06-12,24,39,46,2,45,4,8,156,3,2
2020-06-09,46,36,27,5,15,8,2,129,2,3
2020-06-05,24,11,37,17,5,6,3,94,1,4
2020-06-02,49,22,12,26,10,11,7,119,4,1
2020-05-29,4,11,8,46,19,4,8,88,3,2
2020-05-26,9,4,27,14,21,4,6,75,2,3
2020-05-22,18,22,32,3,27,2,7,102,3,2
2020-05-19,43,32,37,25,5,6,7,142,1,4
2020-05-15,34,23,32,39,11,1,6,139,2,3
2020-05-12,16,9,29,39,37,4,11,130,1,4
2020-05-08,33,38,8,25,32,9,7,136,3,2
